OFS_FIB_MNF,OFS_FIB_MDF,EMG_EMG_MDF,IMU2_AccX_Mean,EMG_EMG_IMNF,EMG_EMG_MNF,OFS_FIB_IMNF,IMU2_AccZ_Mean,IMU2_AccZ_RMS,IMU2_AccZ_StdDev,fatigue_level
-0.710827,-0.554923,-0.224449,1.188578,2.653901,-0.113823,0.263516,1.159622,1.246446,1.286809,1
-0.735376,-0.509492,-0.237296,0.804404,1.038234,-0.125682,-0.238407,0.789822,0.696952,0.712282,2
-0.727243,-0.56076,-0.266951,-0.980801,-0.340474,-0.430105,-0.368715,-0.952135,-0.69503,-0.657096,2
-0.717273,-0.505569,-0.257234,-0.972092,-0.25496,-0.139472,-0.367518,-0.951024,-0.698131,-0.660225,2
-0.729295,-0.510588,-0.00145,-0.978045,-0.252008,0.112805,-0.346254,-0.953125,-0.700562,-0.662123,2
-0.702117,-0.568675,0.093533,-0.968046,-0.200343,0.290434,-0.398933,-0.954009,-0.69921,-0.660666,2
-0.720273,-0.53761,0.059953,-0.976294,-0.331478,0.33922,-0.42074,-0.954446,-0.695055,-0.656709,2
-0.74077,-0.544562,-0.150096,-0.980407,-0.368876,0.861444,-0.317931,-0.95898,-0.694191,-0.655153,2
-0.718091,-0.562686,0.129757,-0.971664,-0.355449,0.711075,-0.30345,-0.958743,-0.691764,-0.652944,2
-0.716292,-0.54536,-0.219614,-0.966801,-0.246016,-0.10722,-0.323249,-0.956399,-0.687714,-0.649583,2
-0.74016,-0.570284,-0.216181,-0.966665,-0.305662,-0.171867,-0.339579,-0.958457,-0.685916,-0.647646,2
-0.729975,-0.516159,-0.236344,-0.970326,-0.219313,0.175876,-0.288241,-0.963998,-0.685688,-0.646714,2
-0.7362,-0.586761,-0.186738,-0.979394,-0.123452,-0.164931,1.22925,-0.958104,-0.686118,-0.647953,2
-0.739869,-0.514175,-0.026519,-0.972097,3.858145,-0.041048,3.340328,-0.95183,-0.684731,-0.647541,2
-0.772253,-0.611894,0.308968,-0.978946,1.451137,0.456712,2.85144,-0.952966,-0.684386,-0.647053,3
-0.742298,-0.572211,-0.311819,-0.98238,-0.235764,-0.217397,1.234622,-0.954084,-0.68288,-0.645489,3
-0.704205,-0.485728,-0.102437,-0.967434,-0.182124,0.147044,0.153004,-0.953186,-0.682512,-0.645293,3
-0.739554,-0.541368,-0.136933,-0.968898,-0.160201,0.047052,-0.02281,-0.961976,-0.686966,-0.648139,3
-0.737831,-0.567281,-0.319419,-0.974498,-0.138752,-0.188715,-0.13246,-0.953948,-0.690083,-0.65221,3
-0.721227,-0.519594,0.016596,-0.974338,-0.119849,0.001241,-0.21254,-0.953162,-0.690864,-0.653007,3
-0.731395,-0.520829,-0.254468,-0.968408,-0.181046,-0.370703,-0.264827,-0.963682,-0.691784,-0.652289,3
-0.73913,-0.560747,-0.189365,-0.971726,-0.263385,-0.32602,-0.310933,-0.960052,-0.692365,-0.653306,3
-0.731842,-0.55209,-0.136897,-0.975924,-0.21941,-0.150557,-0.306336,-0.951098,-0.690626,-0.653147,3
-0.679439,-0.496849,-0.304613,-0.972157,-0.201165,-0.136335,-0.288519,-0.957715,-0.68875,-0.650338,3
-0.654637,-0.512141,-0.080856,-0.97595,-0.228607,-0.035195,-0.304839,-0.960706,-0.69365,-0.654387,3
-0.690169,-0.496393,-0.304455,-0.972933,-0.276779,-0.528832,-0.289616,-0.956151,-0.696951,-0.658162,3
-0.717423,-0.487901,-0.328712,-0.974554,-0.269092,-0.412077,-0.276017,-0.957631,-0.693872,-0.655074,3
-0.732929,-0.515772,-0.148506,-0.989908,-0.249763,-0.152121,-0.273981,-0.943449,-0.6886,-0.652705,3
-0.719628,-0.505836,-0.067396,-0.965769,-0.206532,-0.179796,-0.250493,-0.955878,-0.691303,-0.652982,3
-0.710768,-0.488383,-0.071842,-0.974269,-0.190516,-0.054248,-0.255926,-0.948687,-0.694094,-0.65685,3
-0.72845,-0.478022,-0.268662,-0.985177,-0.217685,-0.3122,-0.269234,-0.946312,-0.685337,-0.649107,3
-0.714069,-0.53204,-0.116504,-0.979294,-0.208547,-0.136378,-0.24645,-0.957481,-0.679701,-0.642126,3
-0.691918,-0.463985,-0.241912,-0.96602,-0.21784,-0.033241,-0.280978,-0.962288,-0.677197,-0.639249,3
-0.664021,-0.531862,-0.333765,-0.965848,-0.197206,-0.270953,-0.323839,-0.956947,-0.673121,-0.636211,3
-0.7152,-0.514815,-0.104075,-0.978444,-0.18057,-0.394097,-0.285501,-0.957375,-0.679455,-0.642027,3
-0.744551,-0.55344,-0.255499,-0.981491,-0.252804,-0.352204,-0.276306,-0.948798,-0.679846,-0.643591,3
-0.688328,-0.568852,-0.234075,-0.965129,-0.282625,-0.33901,-0.289051,-0.954715,-0.676218,-0.639333,3
-0.676718,-0.516102,-0.149198,-0.977672,-0.276994,-0.264274,-0.325374,-0.948025,-0.677996,-0.641978,3
-0.692586,-0.502914,-0.358701,-0.978374,-0.189453,-0.482906,-0.345182,-0.952338,-0.68891,-0.651375,3
-0.711287,-0.530607,-0.357985,-0.975754,-0.1462,-0.41268,-0.314401,-0.953067,-0.690565,-0.652831,3
-0.655953,-0.504055,-0.202661,-0.979084,-0.190389,-0.254296,-0.314231,-0.946799,-0.686305,-0.649894,3
-0.640456,-0.509283,-0.211699,-0.979348,-0.203192,-0.263935,-0.356513,-0.947763,-0.685061,-0.648535,3
-0.68599,-0.500234,0.087243,-0.974731,-0.193683,-0.068567,-0.391945,-0.945877,-0.685214,-0.649013,3
-0.707774,-0.54012,-0.312796,-0.970326,-0.168502,-0.424083,-0.392542,-0.947931,-0.679843,-0.643695,3
-0.715055,-0.481342,-0.30115,-0.965102,-0.168632,-0.254878,-0.393303,-0.95889,-0.673269,-0.636212,3
-0.687351,-0.529575,-0.322737,-0.970617,-0.18212,-0.532864,-0.40606,-0.954167,-0.670471,-0.634239,3
-0.723671,-0.561875,-0.291384,-0.973445,-0.193317,0.198485,-0.405037,-0.956232,-0.671639,-0.634994,3
-0.713521,-0.558218,-0.149841,-0.984622,-0.20338,-0.339274,-0.387597,-0.942603,-0.666744,-0.632506,3
