OFS_FIB_MNF,OFS_FIB_MDF,EMG_EMG_MDF,IMU2_AccX_Mean,EMG_EMG_IMNF,EMG_EMG_MNF,OFS_FIB_IMNF,IMU2_AccZ_Mean,IMU2_AccZ_RMS,IMU2_AccZ_StdDev,fatigue_level
0.366394,0.179931,0.146644,102.426850,7.668821,0.181625,0.957827,88.007048,89.017706,103.203714,1
0.445589,0.209788,0.751045,103.033077,6.804644,1.965327,0.973660,83.614807,85.312981,107.569617,1
0.402181,0.205565,2.810228,103.209699,6.789671,7.073570,1.041750,82.221688,85.801533,128.377536,1
0.431509,0.214835,0.181076,102.877560,7.821176,0.376089,1.081816,83.948684,88.604447,141.801944,1
0.448203,0.254344,0.159545,103.101600,7.782749,0.202739,1.044811,83.202253,87.079627,132.904977,1
0.423420,0.223063,0.279655,103.461346,7.388912,0.544394,1.060686,82.848228,85.654318,120.492079,1
0.458469,0.229080,0.188799,102.854186,11.536130,0.318688,1.256622,84.889607,87.263270,117.706909,1
0.377114,0.203453,0.156635,102.621861,8.445732,0.129295,2.354224,86.034128,89.313272,129.334841,2
0.382170,0.188936,0.097459,60.690543,7.044719,0.318872,1.297537,44.678542,47.228364,63.004295,2
0.206242,0.157955,0.215719,29.812814,7.952289,0.265269,0.972143,12.270684,14.084347,6.918377,2
0.022633,0.189110,0.201971,29.804968,7.447551,0.116798,0.860106,12.567271,14.978710,8.155537,2
0.021436,0.202135,0.401736,29.711337,7.448971,0.779870,0.878241,12.736617,15.827579,9.416469,2
0.021124,0.221454,0.323450,29.596512,7.889799,0.558225,0.936981,13.157245,16.478921,9.953025,2
0.147840,0.206319,0.189287,29.429776,7.038873,0.160297,0.874952,13.375855,16.595082,9.856386,2
0.082148,0.222346,0.249791,29.679143,7.135230,0.183352,0.821522,13.175796,16.199576,9.452070,2
0.022978,0.214275,0.231744,29.437476,6.732631,1.235202,0.874332,13.015272,16.030447,9.389592,2
0.096536,0.228448,0.836746,29.641664,6.646981,1.046040,0.803282,13.420011,16.383127,9.428494,2
0.413769,0.178383,0.148248,29.123059,6.924362,0.591985,0.765844,13.941008,16.790167,9.391089,2
0.169834,0.125162,0.096920,29.503175,7.247453,0.239530,0.782277,13.209553,16.416928,9.762797,2
0.333785,0.187302,0.145302,29.628459,6.961823,1.327809,0.792001,12.667288,16.114075,9.971312,2
0.315350,0.186552,0.250591,29.875251,7.310509,1.114564,0.769783,12.618880,15.762678,9.451120,2
0.377770,0.203734,0.158010,29.575700,7.533878,0.303555,0.718397,13.147074,15.269838,7.777187,2
0.158970,0.126035,0.208884,29.284088,7.019303,0.348883,0.704946,13.977981,15.730801,7.231136,2
0.074022,0.088709,0.356186,29.383601,7.061259,0.851222,0.717803,13.431876,15.027599,6.751586,2
0.288576,0.169801,0.100023,29.938371,7.512297,0.445675,0.747207,11.741247,13.345871,6.342600,2
0.433249,0.224077,0.175572,30.053682,7.592449,0.242523,0.722184,11.636893,13.285354,6.383709,2
0.100371,0.095174,0.286928,30.017320,8.578517,0.653239,0.944614,11.667072,12.853456,5.405036,2
0.305887,0.180286,0.125339,29.999111,28.195742,0.328613,1.659084,11.429025,12.596651,5.305143,3
0.289734,0.211008,0.374927,29.959729,7.207072,0.669726,0.824043,11.750656,12.766321,4.984917,3
0.189575,0.130774,0.126168,29.963485,6.789744,0.490406,0.733177,11.270722,12.146483,4.538095,3
0.360632,0.213730,0.141414,30.138127,7.255582,0.297855,0.795707,11.039556,11.864339,4.351687,3
0.171425,0.144626,0.296354,30.115122,6.840793,0.549518,0.759712,11.434561,12.018127,3.673269,3
0.082754,0.102161,0.110177,29.977260,6.565502,0.475692,0.756957,11.406941,12.005192,3.735085,3
0.302842,0.165569,0.113031,29.858167,6.647322,0.413814,0.737168,11.554701,12.326843,4.299221,3
0.486474,0.254456,0.153869,29.824597,6.616284,0.417362,0.793069,11.510732,13.188695,6.349275,3
0.099434,0.098184,0.397630,30.036423,6.927714,0.666128,0.768548,11.337905,14.369160,8.807010,3
0.297925,0.162989,0.180541,30.165451,7.330856,0.654860,0.771244,10.866745,15.086190,10.477529,3
