OFS_FIB_MDF,OFS_FIB_MNF,EMG_EMG_MDF,IMU2_AccX_Mean,OFS_FIB_IMNF,IMU2_AccX_RMS,IMU2_AccX_StdDev,EMG_EMG_IMNF,IMU2_AccZ_RMS,IMU2_GyroY_RMS,Fatigue_level
0.174668,0.090068,0.159946,101.887277,0.936863,102.486175,102.223644,7.131049,185.405365,3794.417326,0
0.169312,0.077941,0.169327,104.899155,0.944764,107.481983,108.370624,7.037521,196.060327,4264.721063,0
0.173309,0.072532,0.203269,105.974956,0.99062,104.355575,103.521112,6.839549,213.390966,4312.114028,0
0.173406,0.101947,0.218023,101.398361,1.038923,100.877807,100.549487,6.951431,220.735639,4297.104872,0
0.162395,0.082046,0.262394,101.054099,1.014801,103.155292,103.937708,7.234835,221.372852,4245.340549,0
0.14889,0.059505,0.164961,105.160753,0.944273,107.919342,108.986152,7.245988,217.719259,4369.859732,0
0.16096,0.076377,0.167054,106.163826,0.958197,107.600001,108.085259,7.111951,220.378748,4517.945651,0
0.162278,0.076789,0.14363,97.318195,0.96445,102.3838,104.405027,7.079641,212.845292,4684.251451,0
0.163128,0.062649,0.166481,106.11994,0.968655,104.087195,103.01006,6.880068,228.187263,4830.39437,0
0.154096,0.070081,0.170757,101.407608,1.063071,101.370908,101.235154,6.7505,235.596191,5023.217346,0
0.157418,0.074395,0.164192,102.728948,1.141779,100.707796,99.672847,6.834343,240.372397,5236.09183,0
0.155427,0.07053,0.159863,106.01608,1.050937,105.68123,105.400611,7.160576,237.515596,5478.435943,0
0.151125,0.059507,0.171799,105.149498,1.090721,106.119951,106.411037,7.467211,239.0076,5476.911829,0
0.150813,0.064599,0.149897,107.604854,1.110127,106.525434,105.912306,7.392199,232.595553,5511.647848,0
0.157906,0.06396,0.170132,101.106195,1.128368,102.429299,102.865697,7.183213,212.473905,5110.55213,0
0.151016,0.060311,0.142585,108.574758,1.165977,103.887489,101.627597,6.923916,209.708782,4900.483614,0
0.156198,0.054284,0.175538,107.036919,1.183109,109.175119,109.955277,7.16625,186.231787,4945.063578,0
0.146445,0.049226,0.167798,101.416509,1.277651,108.140558,110.823994,7.382656,178.754171,4778.625245,0
0.147542,0.06011,0.164534,115.73466,1.577905,115.720655,115.537241,7.390143,183.179721,4892.11455,0
0.143962,0.055168,0.175024,99.664835,2.230782,108.344833,111.789365,7.142871,178.194358,4836.867113,0
0.156399,0.061337,0.192917,105.655872,2.732748,109.36564,110.811558,6.886218,184.601173,4721.690686,0
0.144076,0.060747,0.166077,104.770127,1.292502,110.798618,113.189143,24.068544,181.407007,4870.672421,0
0.151245,0.05241,0.163959,87.190811,0.955719,89.987567,90.038461,14.707273,131.987617,3754.711121,1
0.143155,0.055172,0.15907,5.501965,0.868284,12.013971,10.697005,6.71895,6.79811,149.360393,1
0.151864,0.058558,0.160672,5.900479,0.869087,12.527037,11.064929,7.214428,6.519209,137.172844,1
0.151072,0.054475,0.202841,5.628073,0.883355,12.564049,11.248444,7.231529,6.300556,132.861903,1
0.141906,0.063705,0.2185,6.085623,0.848008,12.584333,11.038563,7.530882,6.422177,126.483076,1
0.146808,0.057539,0.212964,5.708221,0.833376,12.453431,11.086203,6.771074,6.7958,124.018308,1
0.145711,0.050578,0.178335,5.520009,0.902359,12.400451,11.123712,6.554392,6.873557,122.187141,1
0.142851,0.05828,0.224472,5.920096,0.912076,12.535372,11.071495,6.632188,7.091851,121.954021,1
0.145585,0.058891,0.166874,6.142599,0.898791,12.328435,10.708724,7.266247,7.456014,124.104918,1
